cells,labels
cell_84,1
cell_85,1
cell_87,1
cell_90,1
cell_91,1
cell_92,1
cell_93,1
cell_94,1
cell_99,1
cell_101,1
cell_102,1
cell_106,6
cell_108,6
cell_109,6
cell_110,6
cell_111,6
cell_112,6
cell_113,6
cell_114,3
cell_115,6
cell_118,6
cell_119,3
cell_120,6
cell_124,6
cell_125,3
cell_128,6
cell_130,3
cell_131,6
cell_135,6
cell_136,6
cell_138,6
cell_139,6
cell_142,6
cell_143,6
cell_144,6
cell_145,6
cell_146,4
cell_147,6
cell_148,6
cell_149,6
cell_150,6
cell_86,5
cell_88,5
cell_89,5
cell_95,5
cell_96,5
cell_97,5
cell_98,5
cell_100,5
cell_103,5
cell_104,5
cell_105,5
cell_107,8
cell_116,8
cell_117,3
cell_121,3
cell_122,3
cell_123,3
cell_126,4
cell_127,8
cell_129,3
cell_132,3
cell_133,8
cell_134,3
cell_137,8
cell_140,3
cell_141,6
cell_151,3
cell_152,8
cell_153,8
cell_154,3
cell_171,2
cell_172,0
cell_173,2
cell_174,2
cell_175,2
cell_177,2
cell_178,2
cell_180,7
cell_181,7
cell_184,7
cell_187,7
cell_190,0
cell_191,7
cell_194,0
cell_195,0
cell_199,4
cell_200,4
cell_203,7
cell_204,7
cell_205,7
cell_208,4
cell_209,7
cell_213,4
cell_216,0
cell_217,0
cell_220,4
cell_221,4
cell_222,7
cell_223,7
cell_224,7
cell_225,4
cell_228,0
cell_231,4
cell_232,4
cell_234,4
cell_235,4
cell_182,7
cell_183,0
cell_185,7
cell_186,7
cell_188,7
cell_189,4
cell_192,0
cell_193,0
cell_196,0
cell_197,0
cell_198,7
cell_201,7
cell_202,7
cell_206,0
cell_207,7
cell_210,7
cell_211,7
cell_212,4
cell_214,7
cell_215,4
cell_218,7
cell_219,0
cell_226,7
cell_227,7
cell_229,7
cell_230,7
cell_233,7
cell_236,4
cell_237,4
cell_238,4
